Manufacturer,Name,Displacement,Cylinders,Transmission,Drive,CityMPG,HighwayMPG
ASTON MARTIN,V8 VANTAGE,4.3,8,Auto(S6),R,13,20
ASTON MARTIN,V8 VANTAGE,4.3,8,Manual(M6),R,12,19
AUDI,R8,4.2,8,Auto(S6),4,13,19
AUDI,R8,4.2,8,Manual(M6),4,13,20
AUDI,TT ROADSTER,2,4,Auto(S6),F,22,29
AUDI,TT ROADSTER QUATTRO,3.2,6,Auto(S6),4,18,24
AUDI,TT ROADSTER QUATTRO,3.2,6,Manual(M6),4,17,24
BMW,Z4 3.0I,3,6,Auto(S6),R,19,28
BMW,Z4 3.0I,3,6,Manual(M6),R,18,28
BMW,Z4 3.0SI,3,6,Auto(S6),R,19,28
BMW,Z4 3.0SI,3,6,Manual(M6),R,18,28
BMW,Z4 COUPE,3,6,Auto(S6),R,19,28
BMW,Z4 COUPE,3,6,Manual(M6),R,18,28
BMW,Z4 M COUPE,3.2,6,Manual(M6),R,15,23
BMW,Z4 M ROADSTER,3.2,6,Manual(M6),R,15,23
BUGATTI,VEYRON,8,16,Auto(S6),4,8,14
CADILLAC,XLR,4.4,8,Auto(S6),R,14,21
CADILLAC,XLR,4.6,8,Auto(S6),R,15,24
CHEVROLET,CORVETTE,6.2,8,Auto(S6),R,15,25
CHEVROLET,CORVETTE,6.2,8,Manual(M6),R,16,26
CHEVROLET,CORVETTE,7,8,Manual(M6),R,15,24
CHRYSLER,CROSSFIRE COUPE,3.2,6,Auto(L5),R,19,25
CHRYSLER,CROSSFIRE COUPE,3.2,6,Manual(M6),R,15,23
CHRYSLER,CROSSFIRE ROADSTER,3.2,6,Auto(L5),R,19,25
CHRYSLER,CROSSFIRE ROADSTER,3.2,6,Manual(M6),R,15,23
DODGE,VIPER CONVERTIBLE,8.4,10,Manual(M6),R,13,22
DODGE,VIPER COUPE,8.4,10,Manual(M6),R,13,22
FERRARI,F430,4.3,8,Auto(A6),R,11,16
FERRARI,F430,4.3,8,Manual(M6),R,11,16
FERRARI,FERRARI 599 GTB FIORANO,5.9,12,Auto(A6),R,11,15
FERRARI,FERRARI 599 GTB FIORANO,5.9,12,Manual(M6),R,11,15
HONDA,S2000,2.2,4,Manual(M6),R,18,25
LAMBORGHINI,GALLARDO COUPE,5,10,Auto(S6),4,11,17
LAMBORGHINI,GALLARDO COUPE,5,10,Manual(M6),4,10,17
LAMBORGHINI,GALLARDO SPYDER,5,10,Auto(S6),4,10,16
LAMBORGHINI,GALLARDO SPYDER,5,10,Manual(M6),4,10,15
LAMBORGHINI,MURCIELAGO,6.5,12,Auto(S6),4,9,14
LAMBORGHINI,MURCIELAGO,6.5,12,Manual(M6),4,8,13
LAMBORGHINI,MURCIELAGO REVENTON,6.5,12,Auto(S6),4,9,14
LAMBORGHINI,MURCIELAGO ROADSTER,6.5,12,Auto(S6),4,9,14
LAMBORGHINI,MURCIELAGO ROADSTER,6.5,12,Manual(M6),4,8,13
LOTUS,ELISE/EXIGE,1.8,4,Manual(M6),R,20,26
LOTUS,ELISE/EXIGE,1.8,4,Manual(M6),R,20,26
LOTUS,ELISE/EXIGE,1.8,4,Manual(M6),R,21,27
MAZDA,MX-5,2,4,Auto(S6),R,20,27
MAZDA,MX-5,2,4,Manual(M5),R,22,27
MAZDA,MX-5,2,4,Manual(M6),R,21,28
MERCEDES-BENZ,SL55 AMG,5.4,8,Auto(S5),R,12,17
MERCEDES-BENZ,SL550,5.5,8,Auto(L7),R,14,21
MERCEDES-BENZ,SL600,5.5,12,Auto(L5),R,11,18
MERCEDES-BENZ,SL65 AMG,6,12,Auto(S5),R,11,18
MERCEDES-BENZ,SLK280,3,6,Auto(L7),R,18,24
MERCEDES-BENZ,SLK280,3,6,Manual(M6),R,17,25
MERCEDES-BENZ,SLK350,3.5,6,Auto(L7),R,17,23
MERCEDES-BENZ,SLK350,3.5,6,Manual(M6),R,16,23
MERCEDES-BENZ,SLK55 AMG,5.4,8,Auto(S7),R,14,20
MERCEDES-BENZ,SLR,5.4,8,Auto(S5),R,12,16
MERCEDES-BENZ,SMART FORTWO (CONVERTIBLE),1,3,Auto(S5),R,33,41
MERCEDES-BENZ,SMART FORTWO (COUPE),1,3,Auto(S5),R,33,41
NISSAN,350Z,3.5,6,Auto(S5),R,17,24
NISSAN,350Z,3.5,6,Manual(M6),R,18,25
NISSAN,350Z ROADSTER,3.5,6,Auto(S5),R,17,23
NISSAN,350Z ROADSTER,3.5,6,Manual(M6),R,17,24
PONTIAC,SOLSTICE,2,4,Auto(L5),R,19,26
PONTIAC,SOLSTICE,2,4,Manual(M5),R,19,28
PONTIAC,SOLSTICE,2.4,4,Auto(L5),R,19,24
PONTIAC,SOLSTICE,2.4,4,Manual(M5),R,19,25
PORSCHE,911 GT2,3.6,6,Manual(M6),R,16,23
PORSCHE,BOXSTER,2.7,6,Auto(L5),R,19,26
PORSCHE,BOXSTER,2.7,6,Manual(M5),R,20,29
PORSCHE,BOXSTER,2.7,6,Manual(M6),R,19,28
PORSCHE,BOXSTER S,3.4,6,Auto(L5),R,18,25
PORSCHE,BOXSTER S,3.4,6,Manual(M6),R,18,26
PORSCHE,CAYMAN,2.7,6,Auto(L5),R,19,26
PORSCHE,CAYMAN,2.7,6,Manual(M5),R,20,29
PORSCHE,CAYMAN,2.7,6,Manual(M6),R,19,28
PORSCHE,CAYMAN S,3.4,6,Auto(L5),R,18,25
PORSCHE,CAYMAN S,3.4,6,Manual(M6),R,18,26
PORSCHE,GT3       911 GT3,3.6,6,Manual(M6),R,15,22
PORSCHE,GT3 RS    911 GT3 RS,3.6,6,Manual(M6),R,15,22
SATURN,SKY,2,4,Auto(L5),R,19,26
SATURN,SKY,2,4,Manual(M5),R,19,28
SATURN,SKY,2.4,4,Auto(L5),R,19,24
SATURN,SKY,2.4,4,Manual(M5),R,19,25
SHLBY,SHELBY MUSTANG GT,4.6,8,Manual(M5),R,15,22
ASTON MARTIN,DB9 COUPE,5.9,12,Auto(S6),R,11,18
ASTON MARTIN,DB9 COUPE,5.9,12,Manual(M6),R,10,16
ASTON MARTIN,DB9 VOLANTE,5.9,12,Auto(S6),R,11,17
ASTON MARTIN,DB9 VOLANTE,5.9,12,Manual(M6),R,10,16
AUDI,TT COUPE,2,4,Auto(S6),F,23,31
JAGUAR,JAGUAR XK,4.2,8,Auto(L6),R,16,25
JAGUAR,JAGUAR XK CONVERTIBLE,4.2,8,Auto(L6),R,16,25
JAGUAR,JAGUAR XKR,4.2,8,Auto(L6),R,15,23
JAGUAR,JAGUAR XKR CONVERTIBLE,4.2,8,Auto(L6),R,15,23
LEXUS,SC 430,4.3,8,Auto(S6),R,16,23
MINI,MINI COOPER,1.6,4,Auto(S6),F,26,34
MINI,MINI COOPER,1.6,4,Manual(M6),F,28,37
MINI,MINI COOPER CONVERTIBLE,1.6,4,Auto(AV),F,22,30
MINI,MINI COOPER CONVERTIBLE,1.6,4,Manual(M5),F,23,32
MINI,MINI COOPER S,1.6,4,Auto(S6),F,23,32
MINI,MINI COOPER S,1.6,4,Manual(M6),F,26,34
MINI,MINI COOPER S CONVERTIBLE,1.6,4,Auto(S6),F,19,29
MINI,MINI COOPER S CONVERTIBLE,1.6,4,Manual(M6),F,21,29
MITSUBISHI,ECLIPSE SPYDER,2.4,4,Auto(S4),F,19,26
MITSUBISHI,ECLIPSE SPYDER,2.4,4,Manual(M5),F,19,26
MITSUBISHI,ECLIPSE SPYDER,3.8,6,Auto(S5),F,16,24
MITSUBISHI,ECLIPSE SPYDER,3.8,6,Manual(M6),F,16,25
PORSCHE,911 TURBO,3.6,6,Auto(L5),4,15,23
PORSCHE,911 TURBO,3.6,6,Manual(M6),4,16,23
PORSCHE,911 TURBO CABRIOLET,3.6,6,Auto(L5),4,15,23
PORSCHE,911 TURBO CABRIOLET,3.6,6,Manual(M6),4,15,24
PORSCHE,CARRERA 2 CABRIOLET,3.6,6,Auto(L5),R,18,24
PORSCHE,CARRERA 2 CABRIOLET,3.6,6,Manual(M6),R,18,26
PORSCHE,CARRERA 2 COUPE,3.6,6,Auto(L5),R,18,24
PORSCHE,CARRERA 2 COUPE,3.6,6,Manual(M6),R,18,26
PORSCHE,CARRERA 2 S CABRIOLET,3.8,6,Auto(L5),R,17,24
PORSCHE,CARRERA 2 S CABRIOLET,3.8,6,Manual(M6),R,17,25
PORSCHE,CARRERA 2 S COUPE,3.8,6,Auto(L5),R,17,24
PORSCHE,CARRERA 2 S COUPE,3.8,6,Manual(M6),R,17,25
PORSCHE,CARRERA 4 CABRIOLET,3.6,6,Auto(L5),4,17,24
PORSCHE,CARRERA 4 CABRIOLET,3.6,6,Manual(M6),4,17,25
PORSCHE,CARRERA 4 COUPE,3.6,6,Auto(L5),4,17,24
PORSCHE,CARRERA 4 COUPE,3.6,6,Manual(M6),4,17,25
PORSCHE,CARRERA 4 S CABRIOLET,3.8,6,Auto(L5),4,17,23
